City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuatapere,100,NZ,1576121442,97,-46.13,167.69,57.04,1.52
1,butaritari,0,KI,1576121518,75,3.07,172.79,84.65,14.03
2,xuddur,9,SO,1576121833,79,4.12,43.89,72.97,6.11
3,hobart,40,AU,1576121432,47,-42.88,147.33,60.01,20.8
4,cagayan de tawi-tawi,100,PH,1576121833,80,6.97,118.51,81.95,19.86
5,vryburg,0,ZA,1576121724,42,-26.96,24.73,64.53,5.08
6,komsomolskiy,100,RU,1576121579,96,67.55,63.78,5.23,5.28
7,nanortalik,100,GL,1576121235,94,60.14,-45.24,30.83,14.27
8,hermanus,2,ZA,1576121428,81,-34.42,19.24,66.99,11.99
9,kaitangata,27,NZ,1576121449,83,-46.28,169.85,60.01,11.01
10,beloha,38,MG,1576121834,86,-25.17,45.06,76.03,8.48
11,thompson,5,CA,1576121526,74,55.74,-97.86,-23.8,2.24
12,puerto ayora,0,AR,1576121534,65,-51.62,-69.23,46.4,12.75
13,barrow,17,AR,1576121530,76,-38.31,-60.23,61.38,6.11
14,tiksi,2,RU,1576121565,88,71.64,128.87,-28.23,4.9
15,piacabucu,5,BR,1576121834,79,-10.41,-36.43,77.5,9.13
16,avarua,99,CK,1576121449,94,-21.21,-159.78,77.0,14.99
17,shemordan,97,RU,1576121834,86,56.19,50.4,21.81,11.45
18,yulara,82,AU,1576121572,18,-25.24,130.99,87.8,24.16
19,bethel,90,US,1576121447,79,60.79,-161.76,26.6,18.34
20,hilo,75,US,1576121281,74,19.71,-155.08,78.8,6.93
21,katsuura,40,JP,1576121534,53,33.93,134.5,53.6,19.46
22,busselton,0,AU,1576121522,17,-33.64,115.35,93.99,3.58
23,ushuaia,75,AR,1576121518,81,-54.81,-68.31,44.6,26.4
24,east london,0,UG,1576121554,88,3.43,31.7,68.86,1.92
25,norman wells,1,US,1576121479,60,35.22,-97.44,46.0,14.99
26,kapaa,75,US,1576121492,65,22.08,-159.32,82.4,3.36
27,bredasdorp,74,ZA,1576121433,72,-34.53,20.04,68.0,12.75
28,sungaipenuh,57,ID,1576121835,73,-2.08,101.38,71.58,4.29
29,rikitea,100,PF,1576121428,82,-23.12,-134.97,73.51,26.37
30,severo-kurilsk,100,RU,1576121446,83,50.68,156.12,25.61,3.83
31,richards bay,90,US,1576121835,84,46.84,-95.91,1.4,8.05
32,saucillo,0,MX,1576121835,62,28.03,-105.29,54.93,6.08
33,atuona,0,PF,1576121525,67,-9.8,-139.03,79.83,11.16
34,sao filipe,7,IN,1576121535,58,20.51,76.21,71.78,14.52
35,usinsk,95,RU,1576121835,95,66.0,57.56,16.32,9.98
36,qaanaaq,0,GL,1576121521,50,77.48,-69.36,-3.32,9.82
37,new norfolk,88,LR,1576121517,96,6.65,-10.59,73.44,0.72
38,castro,40,CL,1576121518,93,-42.48,-73.76,41.0,1.12
39,kavieng,89,PG,1576121522,67,-2.57,150.8,85.75,8.75
40,jamestown,100,AU,1576121504,20,-33.21,138.6,77.56,10.29
41,punta arenas,75,PH,1576121521,74,14.18,121.12,84.0,4.7
42,hervey bay,1,US,1576121836,69,33.5,-93.78,39.2,3.36
43,tasiilaq,100,GL,1576121523,79,65.61,-37.64,24.8,34.45
44,ust-kuyga,11,RU,1576121836,99,70.0,135.55,-35.79,5.46
45,sambava,0,MG,1576121548,86,-14.27,50.17,74.95,0.72
46,conneaut,90,US,1576121612,79,41.95,-80.55,28.4,6.93
47,salalah,8,OM,1576121536,73,17.01,54.1,73.4,5.82
48,vawkavysk,90,BY,1576121837,95,53.15,24.45,32.0,11.18
49,ghanzi,52,BW,1576121837,35,-21.7,21.65,72.34,6.69
50,aquidauana,19,BR,1576121837,94,-20.47,-55.78,73.92,3.44
51,airai,59,TL,1576121541,35,-8.93,125.41,86.63,7.23
52,meulaboh,42,ID,1576121453,77,4.14,96.13,79.68,6.8
53,clyde river,73,NZ,1576121280,64,-45.19,169.32,70.0,5.01
54,balkanabat,46,TM,1576121837,82,39.51,54.36,38.97,5.5
55,mataura,100,NZ,1576121520,50,-46.19,168.86,75.54,3.38
56,umarkot,3,PK,1576121837,46,25.37,69.74,69.91,4.12
57,hithadhoo,100,MV,1576121542,71,-0.6,73.08,82.2,4.56
58,samaipata,100,BO,1576121838,98,-18.18,-63.88,61.74,1.9
59,berlevag,40,NO,1576121477,92,70.86,29.09,24.8,24.16
60,ancud,40,CL,1576121582,93,-41.87,-73.83,41.0,1.12
61,vaini,0,IN,1576121518,72,15.34,74.49,69.8,3.36
62,tura,92,RU,1576121567,96,64.27,100.22,-3.17,3.15
63,ornes,75,FR,1576121838,93,49.25,5.47,39.99,3.36
64,gigmoto,24,PH,1576121838,79,13.78,124.39,81.99,17.67
65,vanavara,100,RU,1576121526,94,60.35,102.28,13.95,7.18
66,cabo san lucas,90,ES,1576121519,76,43.18,-5.8,55.0,10.29
67,padra,0,IN,1576121838,82,22.24,73.09,64.4,4.7
68,nouakchott,100,MR,1576121838,18,18.08,-15.98,68.0,9.17
69,lloro,90,ES,1576121839,76,43.28,-5.56,55.99,10.29
70,shelburne,90,CA,1576121839,67,44.08,-80.2,19.99,9.17
71,ouesso,85,CG,1576121820,89,1.61,16.05,69.8,1.9
72,beyneu,0,KZ,1576121833,88,45.32,55.19,30.4,4.65
73,longyearbyen,75,NO,1576121434,61,78.22,15.63,15.8,32.21
74,tuktoyaktuk,5,CA,1576121534,69,69.44,-133.03,-13.0,17.22
75,beaumont,1,US,1576121746,65,30.09,-94.1,50.0,3.36
76,port lincoln,100,CD,1576121383,70,-7.04,29.76,75.29,7.34
77,beringovskiy,71,RU,1576121343,90,63.05,179.32,26.91,10.2
78,lebu,20,ET,1576121543,87,8.96,38.73,51.8,2.24
79,bluff,0,AU,1576121531,25,-23.58,149.07,95.68,4.14
80,chumphon,20,TH,1576121839,66,10.5,99.18,86.0,9.17
81,vostok,100,RU,1576121840,92,46.45,135.83,-1.21,7.72
82,alice springs,0,ZA,1576121547,97,-32.79,26.83,54.07,5.26
83,nikolskoye,93,RU,1576121531,79,59.7,30.79,28.99,11.18
84,chicama,90,PE,1576121587,88,-7.84,-79.15,68.0,5.82
85,dabat,78,ET,1576121840,83,12.98,37.77,54.93,1.23
86,sao paulo de olivenca,7,IN,1576121840,58,20.51,76.21,71.78,14.52
87,jertih,20,MY,1576121840,78,5.74,102.5,82.4,2.24
88,albany,20,US,1576121359,46,42.65,-73.75,30.0,13.87
89,port hedland,100,CD,1576121383,70,-7.04,29.76,75.29,7.34
90,port alfred,100,CD,1576121383,70,-7.04,29.76,75.29,7.34
91,ahipara,0,NZ,1576121841,66,-35.17,173.16,81.0,1.01
92,georgetown,90,GY,1576121552,100,6.8,-58.16,75.2,2.24
93,dibulla,100,CO,1576121841,79,11.27,-73.31,80.56,22.53
94,port elizabeth,100,CD,1576121533,70,-7.04,29.76,75.29,7.34
95,victoria,75,BN,1576121413,79,5.28,115.24,84.2,4.7
96,wakkanai,75,JP,1576121841,92,45.41,141.67,32.0,38.03
97,cape town,35,CL,1576121526,88,-36.41,-71.9,55.0,3.0
98,bouar,0,CF,1576121841,30,5.94,15.59,65.53,3.02
99,kruisfontein,69,ZA,1576121522,90,-34.0,24.73,61.93,8.12
100,andreyevo,32,RU,1576121841,57,55.95,41.15,25.99,3.18
